Area Name,Total/ Rural/ Urban,Age-group,Illiterate - Females,Literate - Persons
State - JAMMU & KASHMIR,Total,All ages,3098078,7067233
State - JAMMU & KASHMIR,Total,0-6,934550,file2
State - JAMMU & KASHMIR,Total,7,45715,file2
State - JAMMU & KASHMIR,Total,8,31087,file2
State - JAMMU & KASHMIR,Total,9,20617,file2
State - JAMMU & KASHMIR,Total,10,27667,file2
State - JAMMU & KASHMIR,Urban,80+,12452,file2
State - JAMMU & KASHMIR,Urban,Age not stated,548,file2
State - HIMACHAL PRADESH,Total,All ages,1095583,file2
State - HIMACHAL PRADESH,Total,0-6,370439,file2
State - HIMACHAL PRADESH,Total,7,9478,file2
State - HIMACHAL PRADESH,Total,8,3157,file2
State - HIMACHAL PRADESH,Urban,80+,1978,file2
State - HIMACHAL PRADESH,Urban,Age not stated,56,file2
State - PUNJAB,Total,All ages,4832792,file2
State - PUNJAB,Total,0-6,1410225,file2
State - PUNJAB,Total,7,50517,file2
State - PUNJAB,Total,8,26633,file2
State - PUNJAB,Urban,80+,35280,file2
State - PUNJAB,Urban,Age not stated,1702,file2
State - CHANDIGARH,Total,All ages,134695,file2
State - CHANDIGARH,Total,0-6,55898,file2
State - CHANDIGARH,Total,7,1523,file2
State - CHANDIGARH,Total,Age not stated,51,file2
State - CHANDIGARH,Rural,All ages,4632,file2
State - CHANDIGARH,Rural,0-6,1988,file2
State - CHANDIGARH,Rural,7,60,file2
State - CHANDIGARH,Rural,8,27,file2
